Submission ID,Respondent ID,Submitted at,Loan Id,"Using a scale from 0 (not likely) to 10 (very likely), how likely are you to recommend MoPhones to friends or family?",What is the main reason for your score?,What is one thing we could do to improve your experience with us?,Are you happy with the quality and performance of your MoPhones device?,Are you happy with the service and support provided by MoPhones?,Have you ever experienced a delay in your payment reflecting in your Mophones account?,Have you ever had difficulty getting assistance from MoPhones customer support when needed?,(If Yes) – Please describe the challenge you faced and how we can improve your experience.,Have you experienced any battery-related issues with your MoPhones device?,Have you used the MoPhones app (MoApp) to manage your account or make payments?,Which communication channel do you prefer when contacting MoPhones for inquiries or support?,Have you ever had your phone lock despite making a payment on time?,Any other Feedback?
obzAMRe,NvQRKB,10/7/2025 17:58,recPAYLoLWdOtdCMc,8,Fairness,Allow user to install all apps in their phone,,,,,,,,,,
2Eo44vj,zxEe6x8,10/7/2025 18:08,recq8iqUnwMiq1VcF,10,,,,,,,,,,,,
VLNZZOj,2Ejr6v9,10/7/2025 18:10,recoKG8Xxwd4ODKpq,10,,,,,,,,,,,,
VLNZl1M,rjDEZ9X,10/7/2025 18:15,recY0ItnFOt2pmxW8,8,Refab isn't 100%guranteed,I don't know,,,,,,,,,,
44O22gk,Zj9JBvy,10/7/2025 18:16,recNPjUA4RgBY4uzC,7,"You should improve more on uniformity when interacting with potential customers 
 I almost gave up when applying for the phone on loan 
 A supervisor however assisted me","Stick to agreement 
 During on boarding i was told yiu can even pay late after 2-3 days however that's not the case",,,,,,,,,,
0QkEMbB,A7r8XMy,10/7/2025 18:18,recNwAd96Iq1GszKn,10,Good phone quality,Sometimes it takes too long after payment refresh back,,,,,,,,,,
J9o202Y,pbeVEW1,10/7/2025 18:20,rec9mow0uePOn0WI6,9,Amazing services,Give a little discount for return customer,,,,,,,,,,
kdzY54e,7RXZyoz,10/7/2025 18:28,recA8WDbeCit1OVC6,8,Availability of aftersale services,Include a case or a charger with your phones when purchasing,,,,,,,,,,
D4aVD4p,yPXDBd8,10/7/2025 18:28,recy2zBDo0kA05Che,8,,,,,,,,,,,,
Ek6PD5A,0QVPKAB,10/7/2025 18:30,rec48Y6aXsP4yKgIn,0,Phone keeps locking but I completed loan,Uninstall Nuovo after customers clear loan,,,,,,,,,,
MeVAYBM,J910yqr,10/7/2025 18:33,recdSqNnFThBdvkji,10,,,,,,,,,,,,
2Eo4v9e,Gxe0ZNO,10/7/2025 18:34,recozbH0rJvgQlpGZ,9,The customer service is great and their products are top tier,The romote disabling of the admin lock takes away some services loke secure folder on Samsung phones,,,,,,,,,,
RGjzJyQ,BM5KEK,10/7/2025 18:38,recFwszgb3N4RJoTW,1,Poor openness of loan statement,Improve on that...give us a grace period,,,,,,,,,,
kdzYRRZ,pbeVabE,10/7/2025 18:42,reco2kB0JKmqrthH2,3,You took back my phone with no refunds or anything and said I agreed for it to be taken back yet I never said so,Talk to your clients,,,,,,,,,,
obzAV5O,VreOka,10/7/2025 18:43,recnTnz90DronJAQ6,10,The device is good and customer care service is equally good,Waiting on the call line,,,,,,,,,,
Y59Zzov,5YV7Rb,10/7/2025 18:47,reczlWsMPQNj2ZuLG,3,"My phone battery swollened and caused the screen to break, and since it was during its one year warranty I brought it back for repair and the only thing that was fixed was the battery I ended up fixing the screen on my own and it was too costly.",Fix the issue with warranty.,,,,,,,,,,
Gxbro5O,PdR0KJB,10/7/2025 18:48,rec8gWI7d1eE8d6Ws,8,Good customer service & quality products,So far so good.i feel like you are doing everything i need from your end,,,,,,,,,,
vGzNq0Q,q45P0Kg,10/7/2025 18:52,recrS94WYqZm019Wc,4,,,,,,,,,,,,
2Eo4bRe,Ekq09OB,10/7/2025 18:52,rec4jGvDWcBvgjJqq,10,"I Loved your Customers Services and your Products too.
 You such a great Customer Oriented Company.The way you handle issues through process,its seemless.Big up for that.","Train all staff to be in sync with your process.Last time a lady answered me in a very rude way.I asked jokingly about time taken for me to get my phone back,She gave me a rude answer. ""pengine uwaulize the technicians"" that wasn't polite show lack of process",,,,,,,,,,
68PdA5O,Zj9Jp2y,10/7/2025 18:59,recB2XA12lpMktVRs,0,I bought a phone which could not recieve network. The replacement was done twice and all of them had the same problem.,Please get good phones. They maybe refabs but they should be reliable.,,,,,,,,,,
7REdpla,81NevNl,10/7/2025 19:07,rec5ZktTcso1bxS3A,1,It provides good services to its customers,"Reporting at work is totally poor,,the provider comes at work very late",,,,,,,,,,
q4zbJ8d,VLp8kgl,10/7/2025 19:08,rec0ESJyg01Jm4U7k,10,"Mophones does have a better customer service, nice phones both new and refurb. Whenever you are in need, they'll always be ready to assist in the best way foward.","When someone is purchasing the phone, it's nice to also have a package of monthly payment rather than weekly. 
 Some people don't have cash weekly, but monthly is guaranteed.
 Also you can consider daily. Maybe there are clients who would love the daily payments rather than weekly or monthly.",,,,,,,,,,
obzAkeP,lbaRoOv,10/7/2025 19:09,recj1famXGLWymvK9,0,You sell for me S9 that I keep updating Kila siku yet you knew it's out of Samsung sells,You change my s9 so I can be satisfied,,,,,,,,,,
9q4dM2G,WOOWelR,10/7/2025 19:15,recObEKKdlPNVMI8h,7,S pen air not workings,Customer after service,,,,,,,,,,
Gxbr5je,68DRJZA,10/7/2025 19:16,recJO3A7vxrHpZ36g,10,Courtesy &efficiency,Keep doing the good work you do,,,,,,,,,,
eqzBoZe,Y5jr5jq,10/7/2025 19:23,recVVrf69gCrYTztQ,10,They are good ??,Your mophone app,,,,,,,,,,
QK4AkBp,W6Z2ZL,10/7/2025 19:26,recNMSZ8wZIndUOND,5,Not really a bad experience but the phone has been having screen problems( sometimes not sensing at all) and I also feel like I've ended up paying more than what the phone deserves. Other than that you're a good company. Thank you,Phone durability. Because even now I'm worried if the phone will be working by the time I'm done paying you,,,,,,,,,,
rjYlqXX,V2MobM,10/7/2025 19:29,rec9aeVGkdEwc9Ham,5,After sale service not properly handled,Any phone sold by you should be serviced whether on loan or not,,,,,,,,,,
0QBj0Z9,00k8K6,10/7/2025 19:32,recaBIIFrc7Z3yjVn,,,,Yes,Yes,,,,,,,,
1ARr5kL,jaeLZZJ,10/7/2025 19:42,recC0DkfTmyUDK9oF,6,"The phone can't hold power for a day, even without using it, it's battery is not well off.",So far so good all the services are well and planned,,,,,,,,,,
ZjedKRV,KYpLzbM,10/7/2025 19:49,rec8l8Z3r5ZlxJgYm,5,Too expensive,Low your loan interests,,,,,,,,,,
VLNZy2y,RGWRxg4,10/7/2025 19:50,rec3nhmXyAyajxDLH,10,"1. One can still use the device to make and receive calls and messages.
 2. Flexible extension to allow one to pay on the confirmed agreed day resulting from late payment.
 3. Seamless Customer Service.",Fast update if one makes a payment for unlocking the device if locked. There should be no need to contact the customer service to update on the payment and unlocking.,,,,,,,,,,
44O2D4Y,pbeGdGJ,10/7/2025 19:52,recmtoRpoFHXK88rG,5,Because it's kinda expensive,Lower your pricing,,,,,,,,,,
rjYlblM,VLpVjva,10/7/2025 19:55,receLhxpuuABIj8mW,10,Mophones is good company,Mtu akiitisha simu mnapea Ile ameitisha,,,,,,,,,,
GxbraJo,PdRl1z0,10/7/2025 19:59,rec4fZqbuemGwnwZF,10,,,,,,,,,,,,
Ek6PVZr,LZDXKOp,10/7/2025 20:14,receKmXYJN6pj0w0o,10,A lot of my colleagues need your services,Cost effectively,,,,,,,,,,
obzAqrN,68DR7NO,10/7/2025 20:52,rec8NHu37lmoMI43M,8,"My warranty really worked, my phone screen broke and you discounted replacement charges by huge percentage, big up","My phone heats up alot especially when streaming, if you can check it out for me I'll appreciate alot",,,,,,,,,,
WOqA4lQ,zP7Oxa,10/7/2025 20:59,recJRsvHwjCp02TGI,10,They are very reliable the customer care if they said they will get back to you they will in the very short time so you can imagine,I think on my side I can say if you can bring things like tablet earphones headphones because some of us it's difficult to find the originals and quality if you could much more appreciating,,,,,,,,,,
yP1yMGX,zxEZJGg,10/7/2025 21:48,recnv4X6QDUHafKt6,5,The phones hungs too much and inconsistency in switching off the device before the set date.,STOP EXPLOITATION,,,,,,,,,,
MeVOzD0,KYpLPqX,10/7/2025 22:31,rec8YVDJJPbI1bVBS,5,Customer service experience,Customer service,,,,,,,,,,
VLNlM8v,eqZ5Mpl,10/7/2025 23:31,recTlpvmtFzaO3h46,10,Good service,More forns verity,,,,,,,,,,
9q41y05,Zj9lXR5,10/8/2025 1:16,rec8LX95LiqqhLRiN,8,customer service,,,,,,,,,,,
LZOGxbp,44aL0d5,10/8/2025 1:45,recO0OOB6dz7h47DI,0,Phone quality not guaranteed,Learn to provide customers service,,,,,,,,,,
yP1yAbX,q45OQx2,10/8/2025 1:49,rec4CI6Dyqc0mRTxT,10,You are the best,To maintain the same way,,,,,,,,,,
9q41kzG,J91L4bo,10/8/2025 2:27,recNnQh6QIlT5Y6pM,7,Accessibility,Have more interesting offers for customers who successfully clear their credit,,,,,,,,,,
68PkgEA,RGWRNz9,10/8/2025 2:34,recn6ySGK2jWQGTZG,3,How they questions you,Reduce questioning about someone's details,,,,,,,,,,
xXzQAqv,4eojLY,10/8/2025 2:34,recdh4eWuEhCfymZG,10,The service was good,Sending a reminder on making the instalment,,,,,,,,,,
2EokQqA,81NG91O,10/8/2025 3:00,recfqwNhYwZaCOjzH,5,Fair,Customer service is down,,,,,,,,,,
Pdr0dQV,ob9oX0X,10/8/2025 3:34,reciEEkdHoVep7xuQ,10,,,,,,,,,,,,
KYG0zgM,D4q5lbj,10/8/2025 3:53,recDFnmBThSG2cSuc,10,Because your service are good,Non,,,,,,,,,,
81req0z,PdRlaqB,10/8/2025 3:57,recK1SyBEhLc59pr8,9,Trustworth,Share the type of phones you have and the terms,,,,,,,,,,
kdzZGRM,Zj9Y5Yv,10/8/2025 4:20,recPlgZvcZK4V200Y,7,Phone performance and quality,Phone battary efficiency management in terms of durability,,,,,,,,,,
pbzVDBy,D4qD2jj,10/8/2025 4:26,reclhH5cuz0FmkcK9,8,,,,,,,,,,,,
jazxlkx,yPXvPM8,10/8/2025 4:32,recdlRgJ1bH50TvW7,0,"I took a Samsung phone and the same night the screw started acting up
 When I was in the office I saw not less than 10 Samsung users coming to complain about the same","Stop selling Samsung refurbished phones they are faulty 
 I’d buy used for the same price with all original parts",,,,,,,,,,
WOq0o2a,5QzXov,10/8/2025 5:14,recXUx78XtMxh9xCf,10,Accurate n fast responding,For me i'm okay,,,,,,,,,,
XxQqG7O,WOJYrKe,10/8/2025 5:21,recBmp70FFBP1Kt3I,10,Your device are excellent,Your some of devices are heating up very fast,,,,,,,,,,
Y59ddAd,zxEJyxk,10/8/2025 5:27,recGxWW7MVAyhDnRs,8,,,,,,,,,,,,
VLN88Xg,81N8zvr,10/8/2025 5:28,recjagJAwY2wOMDou,5,Network is low,No receipt to show that I purchased this phone from ??,,,,,,,,,,
9q4llAY,GxeD9xe,10/8/2025 5:30,recbgBh7pZmmm2eJF,9,Quality of the phones...u won't know if they are refurbished!!,Outreach...work on how to get more clients and interest reduction,,,,,,,,,,
81reG2k,ODQY4jp,10/8/2025 5:38,recsYtAvnQmwIA1Vh,3,"Am very disappointed coz while checking s21plus online it uses 2 Sims, but hii iko na moja ,I wish I didn't take , I trusted you more, I didn't check the phone from the word go",I don't know what you can do,,,,,,,,,,
eqzE2Ne,rjDLaev,10/8/2025 5:40,reclndh1w9RgnZQD9,7,MoPhones is efficient and the devices last.,Add more latest iPhones,,,,,,,,,,
1AREJjb,ODQYX9M,10/8/2025 5:49,recaCBWHm0GBXCYHk,9,Good customer service,N/A,,,,,,,,,,
QK40Bz1,9qNvZLY,10/8/2025 5:55,recw3lZtOlUZqWwi4,9,8 very likely,The phones sometimes has network problems when in the house or remote places mobile with two lines,,,,,,,,,,
7REZ9eR,7RXvNqL,10/8/2025 5:55,recIPesaR7cNeG93S,2,You claim I still owe a device that I returned,Update everything,,,,,,,,,,
Gxb0Byk,j10D9x,10/8/2025 6:01,recjYZmX3a5hzAjy0,6,"After i paid the loan, the phone's screen cracked. What i was told abt mophones giving a discount on device repair as long as it's theirs was totally different. 
 The male customer care didn't give a f* as long as the loan is cleared.",Don't promise things u don't deliver,,,,,,,,,,
rjYE28o,D4qDzJX,10/8/2025 6:11,rec21cQy8LKikt3d8,10,Good customer service and quality phones,Having variety of phones,,,,,,,,,,
vGz2JPQ,68Dv27P,10/8/2025 6:23,recoLCMAfVdIY3TmW,10,"First service, customer friendly, and they go out of their way to explain and anticipate before you ask. Very warm and welcoming even on phone",Keep up the good work,,,,,,,,,,
yP1Djy6,vGXLY1v,10/8/2025 6:26,recl7uwCGFd3kMdCg,10,"The prices are favourable and the payment plans 
 Is good not forgetting that Mo phones offers quality renewed phones.","My experience so far with Mophones is good,
 Have learned the QC, enrolling process and the installation of Mo app and I know al gain more going forward.
 One thing that Mophones could do to improve my experience is to be supportive and give time for adjusting",,,,,,,,,,
7REZpJ9,xXVyak9,10/8/2025 6:32,recDr8tY1KL6XhmfT,6,The phone keeps on hunging don't know why,No words coz it was my first time dealing with you guys but got disappointed,,,,,,,,,,
0QkPDjZ,zxEJDa8,10/8/2025 6:33,recQi0z4yg0K6Sl3H,10,Quality,"Response, yo take long to reply texts",,,,,,,,,,
lbzRM4X,jaeWyZY,10/8/2025 6:35,recq2gbpHBGFOHsp2,10,I could still make some calls and even receive messages even after phone being locked.,I think I am OK with the way you are,,,,,,,,,,
J9o0Mg7,EGAJ82,10/8/2025 6:42,recSJmN2tLPfGLvDl,10,Good service,Prompt response to challenges from customers,,,,,,,,,,
ODE0ENM,ODQYAE8,10/8/2025 6:49,recjYyRXvCYuPvpRK,,10,,,,,,,,,,,
Pdr0Pje,PdRYAWd,10/8/2025 6:52,recapQnGOd9LkH8jW,10,2 yrs now n satisfied,Variety,,,,,,,,,,
81re2Xx,RGWY4AP,10/8/2025 7:05,rectBzlQttCoiQ3qm,10,I deserve it,Have more branches to serve more customers,,,,,,,,,,
Pdr0yed,EkqDLqA,10/8/2025 7:19,reccYgcuRoqRQaO0H,8,I believe there's room for improvement,Been able to download APK files while still paying for the phone. Nuovo denies acsses,,,,,,,,,,
yP1Dp5B,KYYKWZK,10/8/2025 7:34,recxJ0d4UTFWtONkY,0,"I got a phone which overheats,and drains battery faster",Response to customer feedback,,,,,,,,,,
BzeXJ7e,2Ejrl0g,10/8/2025 8:12,recTH4HVEaT1AIVGi,0,0,0,,,,,,,,,,
0QkPKYN,rjDLGvN,10/8/2025 8:28,rec6ozqbzjHbl05ei,10,Phone,How you oparrate,,,,,,,,,,
Y59d8LB,vGG5JA4,10/8/2025 8:42,reconsK2fHTiayE1a,6,,,,,,,,,,,,
dWzPBvo,ODQYoJK,10/8/2025 8:46,recHFellH1FtQMloe,10,They are a food option,If you could allow a user to pay daily,,,,,,,,,,
pbzGbEy,PdRYPld,10/8/2025 9:14,recOtcszkwtWQFmI4,10,Its from the service you rendered to me,"Rewarding clients after finishing payments,or Else reducing deposit to 2nd time clients upgrading",,,,,,,,,,
2EoL4XD,yb1Wy4,10/8/2025 10:08,recZixuN8JQSPpLtb,10,Best,Nothing you're perfect,,,,,,,,,,
pbzGVKP,Y5jYB05,10/8/2025 10:21,reccc02NoYuPna9xN,0,Am disappointed with your service. You corrupted my phone network barely 1 month after I completed my payment,Repair my phone,,,,,,,,,,
Y59rYQ5,Zj9YbPv,10/8/2025 10:31,recSpJpavMhsxSyVO,0,,,,,,,,,,,,
RGjRJ8l,lbaWkyN,10/8/2025 10:38,rec5S4f2bAMnz4Ri0,6,,,,,,,,,,,,
dWzlkgq,1AWvj2W,10/8/2025 11:14,recHliOEavTLxoHi6,10,,,,,,,,,,,,
vGz4g1A,yPXvW4g,10/8/2025 11:39,rec8KDZPjC2SQUTn3,3,You have good phones but your management is not upto the task,Customer services code of conduct,,,,,,,,,,
Ek6Lo5q,aQOD95X,10/8/2025 12:21,recEUDVPKdQmh0JpW,10,Understanding customers,Jast to continue with that spirit,,,,,,,,,,
LZOYK2l,q45KPl5,10/8/2025 13:43,rec8fZseXDkS8SQZL,5,"I experienced a poor after sales service, i have purchased a phone Samsung A42 but after few months the phone damaged it's display and i had to return it to your shop. I was given two options 1 you repair the phone and 2 i get refund a certain percentage and I choosed option two. From there getting refunded was a drama that too days of explaining my self though i got a refund at long last. After few months i came back i wanted to purchase S21 but i was denied",Just be honest with your customers even if you making a profit or a loss,,,,,,,,,,
RGjYPEP,5BXGvZo,10/8/2025 13:50,recujfUdcT3rdkFJb,10,It's reliable and the best.,Maybe allow people to download unknown app that are not on playstore,,,,,,,,,,
xXz2Byo,KYYEa9K,10/8/2025 14:04,recvFB2D7wSkNnMlt,8,I was lead to believe that I could get a laptop and a phone on credit but your company doesn’t lend against laptops,Easier to navigate the app,,,,,,,,,,
rjYLrjo,RGWLB0l,10/8/2025 14:27,rec7BX1DrUn89HEHM,10,Its best,Favourable terms like payment monthly,,,,,,,,,,
J9oDbyR,89QAYx,10/8/2025 15:36,recX2gSusjLbuD72D,10,Good,Improve camera,,,,,,,,,,
81r8XOA,D4qJRb5,10/8/2025 16:15,recehFNrndqRAZrWB,8,"I took a phone and when I returned,later to be given another one in exchange you flatly declined .although I owe you Nil.
 But overall your services are excellent.",As stated above.,,,,,,,,,,
VLNMjjl,NvQODO,10/8/2025 17:00,recRWeW6gCoFihs86,5,If only you could give a monthly installment.,Give us an official monthly installment for salaried customers like me,,,,,,,,,,
2EoJvLV,81NpzJo,10/8/2025 18:08,recqyhE7zlJwGsMU9,8,You didn't meet my expectations,"Always make sure your products are checked, analysed and tested before getting to the market.",,,,,,,,,,
44Oo9pk,Y5jzaxN,10/8/2025 18:37,recj6rcehMnviAgMh,0,Because you refused to return my deposit,To be faithful to customers,,,,,,,,,,
Ek6J7Ml,q45EEr7,10/8/2025 20:06,rec9M8wYBwvMdzH7B,8,They respond faster Incase one needs help,"You should offer grace period where possible..coz sometimes it's hard to get there required amount, then the device is supposed to be used for studying or perform other important task...",,,,,,,,,,
KYGJ9Vk,vGXxqWQ,10/8/2025 20:20,rec4g4JZKQ2JqPEE6,10,You've the best devices,Tha battery life of the devices are quite worrying.,,,,,,,,,,
GxbBag2,D4qvlMX,10/9/2025 1:07,recftqqyVLzBItZmS,0,The battery of the phone is outdated,Upgrade to an ios,,,,,,,,,,
lbzl2Xk,PdRBMoV,10/9/2025 1:23,recumVFei9fYu9U7L,0,Wouldn't recommend,Customer satisfaction,,,,,,,,,,
ODEjPDK,VLp9VJJ,10/9/2025 4:44,recHGSZYHSryd0H6E,0,I regret taking a phone because the personnel who was incharge of follow up was very unprofessional by the name Hillary.We ended up at the police station.He was even asking to be paid for damages,Please handle your customers with dignity and honor,,,,,,,,,,
xXz006d,aQOjjEy,10/9/2025 5:46,recWs60H3DTif9djP,10,"“I gave a 10 because MoPhones offers excellent customer service, quality products, and fast delivery. I’m very satisfied with my experience and would gladly recommend them to others.”",Make trade in or do exchange if the colour I don’t like,,,,,,,,,,
MeVrqok,J91VBLr,10/9/2025 7:11,recBHH2wqV0Sf4e31,10,Good customer service.,Quick communication.,,,,,,,,,,
obzlDV1,rjD0Mz5,10/9/2025 9:04,recZhWfmAq2Lq6uCJ,9,Quality services from both ends ??.,"You should consider full charger rather than cable alone.
 Ama just do away with them all.",,,,,,,,,,
VLNoQ1g,eq5NXzJ,10/9/2025 9:08,recC0OgAJsx0wvVAp,8,Great customer service,A 24hrs customer service,,,,,,,,,,
81rjKzA,WOJe4KR,10/9/2025 9:37,recsNcXJ3gcl5Ol7m,10,Good service,Your connection,,,,,,,,,,
XxQO6Nd,RGW80kJ,10/9/2025 11:49,rec0a5NLwEasEUOaS,7,The good customer relationships,"Lower the interest rate and add more phones to lipa polepole sumsung s22,s23",,,,,,,,,,
VLNvvXl,81Nj555,10/9/2025 14:06,recQ4bxgDf08kOpnP,9,,,,,,,,,,,,
5BV8RZQ,X79boO,10/9/2025 15:38,recYjydlrWhV1k8sT,10,Just great,Awesom,,,,,,,,,,
NpPb4DG,A1qp1y,10/9/2025 17:35,rec4kwwNxagCW342s,7,Nothing,Nothing,,,,,,,,,,
kdzJBKo,Y5jpxo0,10/9/2025 19:41,rec0IKT43b6nSwiD6,0,"I feel conned, given what seem a high end device, modified, no credibility no resale value, back and forth, disowned device","Provide me a device that is esim we wont have more problems. Am officially reporting this, it will be to your disadvantage",,,,,,,,,,
D4aZR6q,RGWbM6v,10/10/2025 0:29,recFrb3bQZZKcAomV,7,So far so good,Nothing comes to mind,,,,,,,,,,
aQzvDaE,L4kNAl,10/10/2025 4:15,rec91IEpYgqiA4LGd,4,Weekly payments are not a joke.,"At least allow daily payments and when the phone isn't paid for, dont count that day on the next payment.",,,,,,,,,,
2Eo7xke,1AWNNgb,10/10/2025 4:22,recATK7EV1RETSVK1,10,your patience whe,,,,,,,,,,,
obzvllM,2Ejl7jL,10/10/2025 4:44,rec0IKT43b6nSwiD6,0,"I feel conned, given what seem a high end device, modified, no credibility no resale value, back and forth, disowned device","Provide me a device that is esim we wont have more problems. Am officially reporting this, it will be to your disadvantage",,,,,,,,,,
Gxb5gRp,ob95QDP,10/10/2025 6:05,recssgHa1NrWURREt,10,Nice phones.,Send push notifications for updates and due payments,,,,,,,,,,
9q446j5,jaekb86,10/10/2025 9:58,recN5Yusz635rpXp8,,,,,,,,,,,,,
gDzpoPP,5BX2x7v,10/11/2025 3:28,rec930FTxCoNOb8Db,0,,,,,,,,,,,,
yP1kEP8,z6r5E8,10/11/2025 7:53,recU0qivR2lOapJvx,0,"Got a bad phone. Upon return, no cash back","Your are exploiting people's money. 
 You don't stick to your word. 
 You just need to be honest with yourselves and use honest scales in your dealings.",,,,,,,,,,
